metric,Bitcoin,S&P 500
Total return,1019440.1477749306,7.605740525553575
Annualized return (CAGR),1.4481025308334412,0.1494618970199164
Annualized volatility,0.9009565667159174,0.1718330849530906
Sharpe ratio,1.4203140858163223,0.815211916504394
Sortino ratio,2.2269226907646225,1.1481865524557853
Maximum drawdown,-0.9274863345469114,-0.33547479592845997
Daily VaR (95%),0.060101434409284414,0.016198400000000147
Daily expected shortfall (95%),0.10396089964024145,0.02604728205128205
Worst daily return,-0.48569949200409135,-0.11897000000000002
Daily return skewness,0.6841773936769153,-0.37634881339282744
Daily excess kurtosis,17.443620324161685,13.423590195048407
