universe,lambda,sharpe,ann_return,ann_vol,max_drawdown
Equity (50),0.0,0.6,0.076,0.128,-0.183
Equity (50),0.25,0.7,0.09,0.13,-0.184
Equity (50),0.5,0.76,0.104,0.136,-0.187
Equity (50),0.75,0.8,0.118,0.147,-0.192
Equity (50),1.0,0.82,0.132,0.162,-0.203
Crypto (10),0.0,1.15,0.746,0.651,-0.756
Crypto (10),0.25,1.12,0.749,0.671,-0.752
Crypto (10),0.5,1.07,0.752,0.705,-0.76
Crypto (10),0.75,1.0,0.755,0.752,-0.788
Crypto (10),1.0,0.94,0.758,0.809,-0.816
Combined (60),0.0,0.6,0.076,0.128,-0.183
Combined (60),0.25,0.8,0.11,0.137,-0.191
Combined (60),0.5,0.92,0.144,0.157,-0.204
Combined (60),0.75,0.96,0.177,0.184,-0.229
Combined (60),1.0,0.97,0.211,0.217,-0.272
